gid,Latitude,Longitude,Ratio
 876,-71.172048,42.283212,0.02614379
 876,-71.171783,42.282787,0.02614379
 876,-71.171265,42.282024,0.02614379
 876,-71.171099,42.28174,0.02614379
 876,-71.171039,42.281579,0.02614379
 876,-71.170994,42.281461,0.02614379
 876,-71.170928,42.281217,0.02614379
 876,-71.170923,42.281017,0.02614379
 876,-71.171055,42.280762,0.02614379
 876,-71.171191,42.28065,0.02614379
 876,-71.171327,42.280581,0.02614379
 876,-71.170998,42.280365,0.02614379
 876,-71.17106,42.28021,0.02614379
 876,-71.171218,42.279784,0.02614379
 876,-71.172057,42.279896,0.02614379
 876,-71.173058,42.280023,0.02614379
 876,-71.175549,42.280318,0.02614379
 876,-71.177016,42.280401,0.02614379
 876,-71.177653,42.280409,0.02614379
 876,-71.178206,42.280367,0.02614379
 876,-71.180498,42.280071,0.02614379
 876,-71.184654,42.279566,0.02614379
 876,-71.185064,42.279517,0.02614379
 876,-71.185085,42.279642,0.02614379
 876,-71.185038,42.279679,0.02614379
 876,-71.184961,42.279689,0.02614379
 876,-71.184915,42.279722,0.02614379
 876,-71.184915,42.279758,0.02614379
 876,-71.185191,42.279911,0.02614379
 876,-71.185346,42.279997,0.02614379
 876,-71.185577,42.280101,0.02614379
 876,-71.185885,42.280194,0.02614379
 876,-71.18627,42.280214,0.02614379
 876,-71.186347,42.280248,0.02614379
 876,-71.186547,42.280411,0.02614379
 876,-71.187409,42.280548,0.02614379
 876,-71.187871,42.280665,0.02614379
 876,-71.188055,42.280742,0.02614379
 876,-71.188133,42.2808,0.02614379
 876,-71.188255,42.280959,0.02614379
 876,-71.188425,42.281078,0.02614379
 876,-71.188825,42.281156,0.02614379
 876,-71.189272,42.281363,0.02614379
 876,-71.189646,42.281583,0.02614379
 876,-71.189673,42.281815,0.02614379
 876,-71.189694,42.28184,0.02614379
 876,-71.18961,42.281888,0.02614379
 876,-71.188132,42.282294,0.02614379
 876,-71.188,42.282351,0.02614379
 876,-71.188185,42.282323,0.02614379
 876,-71.188269,42.28231,0.02614379
 876,-71.18977,42.281933,0.02614379
 876,-71.190086,42.282319,0.02614379
 876,-71.190644,42.283101,0.02614379
 876,-71.190701,42.283155,0.02614379
 876,-71.1907,42.283436,0.02614379
 876,-71.177266,42.280786,0.02614379
 876,-71.177114,42.280968,0.02614379
 876,-71.177114,42.281049,0.02614379
 876,-71.177171,42.281092,0.02614379
 876,-71.177294,42.281103,0.02614379
 876,-71.177266,42.280786,0.02614379
 876,-71.184479,42.287284,0.02614379
 876,-71.184396,42.287227,0.02614379
 876,-71.184315,42.287247,0.02614379
 876,-71.18417,42.287387,0.02614379
 876,-71.184155,42.287448,0.02614379
 876,-71.184205,42.287546,0.02614379
 876,-71.18435,42.287431,0.02614379
 876,-71.184458,42.287332,0.02614379
 876,-71.184479,42.287284,0.02614379
 876,-71.180283,42.290883,0.02614379
 876,-71.180178,42.290791,0.02614379
 876,-71.180057,42.290742,0.02614379
 876,-71.179943,42.290742,0.02614379
 876,-71.17981,42.290759,0.02614379
 876,-71.179583,42.290853,0.02614379
 876,-71.179348,42.291008,0.02614379
 876,-71.179206,42.291111,0.02614379
 876,-71.179064,42.291233,0.02614379
 876,-71.178984,42.291388,0.02614379
 876,-71.178995,42.291501,0.02614379
 876,-71.179044,42.291617,0.02614379
 876,-71.179141,42.291705,0.02614379
 876,-71.179241,42.291764,0.02614379
 876,-71.17935,42.291798,0.02614379
 876,-71.179528,42.291847,0.02614379
 876,-71.179758,42.291673,0.02614379
 876,-71.17998,42.291475,0.02614379
 876,-71.180199,42.291219,0.02614379
 876,-71.180363,42.290968,0.02614379
 876,-71.180283,42.290883,0.02614379
 876,-71.181232,42.286963,0.02614379
 876,-71.181199,42.286902,0.02614379
 876,-71.181064,42.286804,0.02614379
 876,-71.181108,42.286521,0.02614379
 876,-71.181089,42.286347,0.02614379
 876,-71.180995,42.28621,0.02614379
 876,-71.180769,42.286093,0.02614379
 876,-71.180244,42.285908,0.02614379
 876,-71.179997,42.285886,0.02614379
 876,-71.179771,42.285895,0.02614379
 876,-71.17954,42.285931,0.02614379
 876,-71.179321,42.285666,0.02614379
 876,-71.179211,42.285629,0.02614379
 876,-71.179091,42.285653,0.02614379
 876,-71.178695,42.285924,0.02614379
 876,-71.178559,42.286036,0.02614379
 876,-71.177983,42.286041,0.02614379
 876,-71.177502,42.286055,0.02614379
 876,-71.17718,42.286106,0.02614379
 876,-71.177106,42.28617,0.02614379
 876,-71.177097,42.28631,0.02614379
 876,-71.177306,42.286923,0.02614379
 876,-71.177387,42.28721,0.02614379
 876,-71.177448,42.287327,0.02614379
 876,-71.177726,42.287621,0.02614379
 876,-71.177996,42.287853,0.02614379
 876,-71.178329,42.28801,0.02614379
 876,-71.178493,42.28812,0.02614379
 876,-71.178628,42.288172,0.02614379
 876,-71.178764,42.288199,0.02614379
 876,-71.178919,42.288276,0.02614379
 876,-71.179131,42.288415,0.02614379
 876,-71.179268,42.288442,0.02614379
 876,-71.179508,42.288379,0.02614379
 876,-71.179787,42.288247,0.02614379
 876,-71.180167,42.288002,0.02614379
 876,-71.180202,42.288008,0.02614379
 876,-71.180313,42.28798,0.02614379
 876,-71.180445,42.287892,0.02614379
 876,-71.181177,42.287137,0.02614379
 876,-71.181227,42.287058,0.02614379
 876,-71.181232,42.286963,0.02614379
 20775,-71.061292,42.370751,1.16666667
 20775,-71.061029,42.370866,1.16666667
 20775,-71.060746,42.370991,1.16666667
 20775,-71.060471,42.371119,1.16666667
 20775,-71.060373,42.371173,1.16666667
 20775,-71.060338,42.371261,1.16666667
 20775,-71.060372,42.371361,1.16666667
 20775,-71.060421,42.371468,1.16666667
 20775,-71.060401,42.371542,1.16666667
 20775,-71.060302,42.371614,1.16666667
 20775,-71.060151,42.371691,1.16666667
 20775,-71.059893,42.371405,1.16666667
 20775,-71.059795,42.371419,1.16666667
 20775,-71.059647,42.371455,1.16666667
 20775,-71.059401,42.371534,1.16666667
 20775,-71.058919,42.371765,1.16666667
 20775,-71.058722,42.371794,1.16666667
 20775,-71.058689,42.371785,1.16666667
 20775,-71.057882,42.370894,1.16666667
 20775,-71.059174,42.371417,1.16666667
 20775,-71.059336,42.371464,1.16666667
 20775,-71.059421,42.371453,1.16666667
 20775,-71.059579,42.371433,1.16666667
 20775,-71.059811,42.371302,1.16666667
 20775,-71.060058,42.371086,1.16666667
 20775,-71.060059,42.371019,1.16666667
 20775,-71.059936,42.370859,1.16666667
 20775,-71.059798,42.370731,1.16666667
 20775,-71.059783,42.370632,1.16666667
 20775,-71.059875,42.370572,1.16666667
 20775,-71.060045,42.370573,1.16666667
 20775,-71.060076,42.37055,1.16666667
 20775,-71.060076,42.370505,1.16666667
 20775,-71.059554,42.369889,1.16666667
 20775,-71.059539,42.369794,1.16666667
 20775,-71.05991,42.369626,1.16666667
 20775,-71.060002,42.369615,1.16666667
 20775,-71.060079,42.369672,1.16666667
 20775,-71.060417,42.370116,1.16666667
 20775,-71.060509,42.370164,1.16666667
 20775,-71.060548,42.370138,1.16666667
 20775,-71.060664,42.370059,1.16666667
 20775,-71.060902,42.370384,1.16666667
 20775,-71.061079,42.370578,1.16666667
 20775,-71.061292,42.370751,1.16666667
 20823,-71.100346,42.264457,0.2
 20823,-71.100017,42.264639,0.2
 20823,-71.099676,42.264841,0.2
 20823,-71.099139,42.264299,0.2
 20823,-71.098465,42.2636,0.2
 20823,-71.098045,42.263175,0.2
 20823,-71.098226,42.263057,0.2
 20823,-71.098434,42.262996,0.2
 20823,-71.098725,42.26294,0.2
 20823,-71.098996,42.262846,0.2
 20823,-71.099271,42.263194,0.2
 20823,-71.099862,42.263914,0.2
 20823,-71.10002,42.264126,0.2
 20823,-71.100346,42.264457,0.2
 21035,-71.082453,42.32326,0.6
 21035,-71.081982,42.323358,0.6
 21035,-71.081435,42.323519,0.6
 21035,-71.081039,42.323628,0.6
 21035,-71.08063,42.323759,0.6
 21035,-71.080251,42.323894,0.6
 21035,-71.080114,42.323641,0.6
 21035,-71.080018,42.323499,0.6
 21035,-71.080346,42.323308,0.6
 21035,-71.080807,42.323005,0.6
 21035,-71.080894,42.322962,0.6
 21035,-71.081026,42.322924,0.6
 21035,-71.081175,42.32289,0.6
 21035,-71.081848,42.322769,0.6
 21035,-71.082049,42.32272,0.6
 21035,-71.082244,42.322672,0.6
 21035,-71.082453,42.32326,0.6
 21511,-71.104558,42.309435,1.2
 21511,-71.104267,42.309742,1.2
 21511,-71.103995,42.31,1.2
 21511,-71.10352,42.309886,1.2
 21511,-71.102839,42.309733,1.2
 21511,-71.102403,42.309644,1.2
 21511,-71.10241,42.309375,1.2
 21511,-71.102428,42.309025,1.2
 21511,-71.10245,42.308878,1.2
 21511,-71.10295,42.309003,1.2
 21511,-71.104374,42.309381,1.2
 21511,-71.104558,42.309435,1.2
 21978,-71.120099,42.253439,2
 21978,-71.120067,42.253455,2
 21978,-71.119942,42.25354,2
 21978,-71.119793,42.253632,2
 21978,-71.119573,42.253743,2
 21978,-71.120042,42.253292,2
 21978,-71.120201,42.253133,2
 21978,-71.120099,42.253439,2
 22546,-71.081283,42.308242,1.6
 22546,-71.080779,42.308746,1.6
 22546,-71.080268,42.309258,1.6
 22546,-71.079217,42.308641,1.6
 22546,-71.078379,42.308141,1.6
 22546,-71.076885,42.307236,1.6
 22546,-71.076637,42.307077,1.6
 22546,-71.077014,42.306799,1.6
 22546,-71.077355,42.306583,1.6
 22546,-71.07763,42.306438,1.6
 22546,-71.077917,42.306306,1.6
 22546,-71.07815,42.306227,1.6
 22546,-71.078407,42.306153,1.6
 22546,-71.079131,42.306676,1.6
 22546,-71.079699,42.307104,1.6
 22546,-71.080021,42.307325,1.6
 22546,-71.080633,42.307769,1.6
 22546,-71.08105,42.308083,1.6
 22546,-71.081283,42.308242,1.6
 22554,-71.071979,42.294418,0.16666667
 22554,-71.071326,42.294556,0.16666667
 22554,-71.069986,42.294864,0.16666667
 22554,-71.069205,42.295027,0.16666667
 22554,-71.068784,42.29414,0.16666667
 22554,-71.069607,42.293914,0.16666667
 22554,-71.070416,42.293705,0.16666667
 22554,-71.071224,42.29349,0.16666667
 22554,-71.071866,42.293289,0.16666667
 22554,-71.071865,42.293492,0.16666667
 22554,-71.071913,42.293933,0.16666667
 22554,-71.071979,42.294418,0.16666667
 22820,-71.037622,42.339825,0.33333333
 22820,-71.035551,42.339886,0.33333333
 22820,-71.035526,42.339223,0.33333333
 22820,-71.037585,42.339189,0.33333333
 22820,-71.037622,42.339825,0.33333333
 22843,-71.142675,42.343629,0.44444444
 22843,-71.141929,42.344741,0.44444444
 22843,-71.141598,42.3446,0.44444444
 22843,-71.141548,42.344573,0.44444444
 22843,-71.141378,42.344483,0.44444444
 22843,-71.141004,42.344247,0.44444444
 22843,-71.140852,42.344146,0.44444444
 22843,-71.141043,42.343982,0.44444444
 22843,-71.141918,42.343189,0.44444444
 22843,-71.142112,42.343287,0.44444444
 22843,-71.142313,42.343409,0.44444444
 22843,-71.142675,42.343629,0.44444444
 22852,-71.049732,42.337443,0.75
 22852,-71.048177,42.336462,0.75
 22852,-71.048593,42.336112,0.75
 22852,-71.050134,42.337088,0.75
 22852,-71.049732,42.337443,0.75
 23087,-71.078086,42.345821,1.75
 23087,-71.077773,42.346042,1.75
 23087,-71.077053,42.346564,1.75
 23087,-71.076645,42.34686,1.75
 23087,-71.076028,42.347309,1.75
 23087,-71.075933,42.347363,1.75
 23087,-71.075808,42.346995,1.75
 23087,-71.075253,42.345884,1.75
 23087,-71.075868,42.345391,1.75
 23087,-71.076467,42.345771,1.75
 23087,-71.07611,42.346074,1.75
 23087,-71.076077,42.346139,1.75
 23087,-71.076082,42.346208,1.75
 23087,-71.076104,42.346248,1.75
 23087,-71.076381,42.346452,1.75
 23087,-71.076468,42.346469,1.75
 23087,-71.076594,42.346449,1.75
 23087,-71.076671,42.346416,1.75
 23087,-71.077034,42.346144,1.75
 23087,-71.077111,42.3462,1.75
 23087,-71.077289,42.346331,1.75
 23087,-71.077615,42.346068,1.75
 23087,-71.077962,42.345786,1.75
 23087,-71.078086,42.345821,1.75
 23300,-71.128124,42.357369,0.375
 23300,-71.126487,42.357978,0.375
 23300,-71.126417,42.357856,0.375
 23300,-71.126531,42.35782,0.375
 23300,-71.127064,42.357618,0.375
 421,-71.068178,42.271343,0.11764706
 421,-71.068093,42.271559,0.11764706
 421,-71.068021,42.271775,0.11764706
 421,-71.06799,42.271947,0.11764706
 421,-71.067989,42.272115,0.11764706
 421,-71.068018,42.272216,0.11764706
 421,-71.06779,42.272227,0.11764706
 421,-71.06703,42.27229,0.11764706
 421,-71.066744,42.272322,0.11764706
 421,-71.066386,42.272396,0.11764706
 421,-71.0662,42.272282,0.11764706
 421,-71.065721,42.272059,0.11764706
 421,-71.065337,42.271895,0.11764706
 421,-71.065089,42.271799,0.11764706
 421,-71.064997,42.271686,0.11764706
 421,-71.064903,42.271581,0.11764706
 421,-71.06469,42.271256,0.11764706
 421,-71.064621,42.271147,0.11764706
 421,-71.064477,42.270922,0.11764706
 421,-71.064366,42.270855,0.11764706
 421,-71.06426,42.270812,0.11764706
 421,-71.064076,42.270791,0.11764706
 421,-71.063934,42.270685,0.11764706
 421,-71.06384,42.270602,0.11764706
 421,-71.063426,42.270267,0.11764706
 421,-71.063376,42.2703,0.11764706
 421,-71.063305,42.270359,0.11764706
 421,-71.062709,42.270774,0.11764706
 421,-71.061971,42.271231,0.11764706
 421,-71.061876,42.271313,0.11764706
 421,-71.061868,42.271362,0.11764706
 421,-71.061891,42.271425,0.11764706
 421,-71.062403,42.271842,0.11764706
 421,-71.061797,42.27226,0.11764706
 421,-71.061522,42.272438,0.11764706
 421,-71.061179,42.273112,0.11764706
 421,-71.061053,42.27336,0.11764706
 421,-71.060077,42.273888,0.11764706
 421,-71.059515,42.274252,0.11764706
 421,-71.059163,42.274523,0.11764706
 421,-71.058975,42.274677,0.11764706
 421,-71.058653,42.274952,0.11764706
 421,-71.058579,42.275017,0.11764706
 421,-71.058246,42.27525,0.11764706
 421,-71.05775,42.275604,0.11764706
 421,-71.057121,42.276009,0.11764706
 421,-71.055758,42.276955,0.11764706
 421,-71.055187,42.277328,0.11764706
 421,-71.05476,42.277584,0.11764706
 421,-71.054452,42.277742,0.11764706
 421,-71.054125,42.277887,0.11764706
 421,-71.053767,42.278029,0.11764706
 421,-71.053748,42.277996,0.11764706
 421,-71.053706,42.277946,0.11764706
 421,-71.053624,42.27785,0.11764706
 421,-71.053508,42.277726,0.11764706
 421,-71.053695,42.277633,0.11764706
 421,-71.053847,42.277625,0.11764706
 421,-71.053962,42.277597,0.11764706
 421,-71.054253,42.277417,0.11764706
 421,-71.054482,42.277257,0.11764706
 421,-71.054926,42.276816,0.11764706
 421,-71.055041,42.276682,0.11764706
 421,-71.055169,42.276426,0.11764706
 421,-71.05525,42.276319,0.11764706
 421,-71.055383,42.276258,0.11764706
 421,-71.05556,42.276217,0.11764706
 421,-71.055626,42.276161,0.11764706
 421,-71.055618,42.276124,0.11764706
 421,-71.055463,42.276031,0.11764706
 421,-71.055448,42.275964,0.11764706
 421,-71.055494,42.275698,0.11764706
 421,-71.055733,42.275271,0.11764706
 421,-71.055899,42.274652,0.11764706
 421,-71.055912,42.274141,0.11764706
 421,-71.056087,42.274108,0.11764706
 421,-71.056269,42.274262,0.11764706
 421,-71.056394,42.274444,0.11764706
 421,-71.056492,42.274495,0.11764706
 421,-71.056544,42.274452,0.11764706
 421,-71.056595,42.274357,0.11764706
 421,-71.056603,42.274245,0.11764706
 421,-71.056202,42.274092,0.11764706
 421,-71.055983,42.274062,0.11764706
 421,-71.054894,42.273193,0.11764706
 421,-71.054443,42.272868,0.11764706
 421,-71.054405,42.272834,0.11764706
 421,-71.054404,42.272806,0.11764706
 421,-71.054444,42.272783,0.11764706
 421,-71.054499,42.272796,0.11764706
 421,-71.054792,42.272889,0.11764706
 421,-71.055099,42.272938,0.11764706
 421,-71.055562,42.272961,0.11764706
 421,-71.056147,42.272906,0.11764706
 421,-71.056363,42.272834,0.11764706
 421,-71.056672,42.272689,0.11764706
 421,-71.056779,42.272678,0.11764706
 421,-71.056995,42.27271,0.11764706
 421,-71.057411,42.272712,0.11764706
 421,-71.057534,42.27275,0.11764706
 421,-71.057765,42.272877,0.11764706
 421,-71.057857,42.272897,0.11764706
 421,-71.058042,42.272899,0.11764706
 421,-71.058181,42.272842,0.11764706
 421,-71.058088,42.272772,0.11764706
 421,-71.057888,42.272748,0.11764706
 421,-71.057688,42.27268,0.11764706
 421,-71.057565,42.272601,0.11764706
 421,-71.057397,42.272532,0.11764706
 421,-71.056688,42.272459,0.11764706
 421,-71.056395,42.272482,0.11764706
 421,-71.056345,42.272506,0.11764706
 421,-71.056179,42.272572,0.11764706
 421,-71.055886,42.272744,0.11764706
 421,-71.055732,42.272778,0.11764706
 421,-71.055558,42.27279,0.11764706
 421,-71.055393,42.272775,0.11764706
 421,-71.055208,42.27272,0.11764706
 421,-71.055055,42.272615,0.11764706
 421,-71.054885,42.272546,0.11764706
 421,-71.054701,42.272508,0.11764706
 421,-71.054531,42.272489,0.11764706
 421,-71.054456,42.272432,0.11764706
 421,-71.054393,42.272388,0.11764706
 421,-71.054363,42.27233,0.11764706
 421,-71.054363,42.272235,0.11764706
 421,-71.054394,42.27219,0.11764706
 421,-71.05444,42.272135,0.11764706
 421,-71.054595,42.272033,0.11764706
 421,-71.054928,42.271995,0.11764706
 421,-71.055073,42.271966,0.11764706
 421,-71.055196,42.27191,0.11764706
 421,-71.055242,42.271841,0.11764706
 421,-71.055489,42.271796,0.11764706
 421,-71.055567,42.271714,0.11764706
 421,-71.055813,42.27166,0.11764706
 421,-71.05589,42.271577,0.11764706
 421,-71.056322,42.271543,0.11764706
 421,-71.056478,42.271391,0.11764706
 421,-71.0566,42.271272,0.11764706
 421,-71.056786,42.271134,0.11764706
 421,-71.057017,42.27103,0.11764706
 421,-71.057256,42.27099,0.11764706
 421,-71.057448,42.270951,0.11764706
 421,-71.057495,42.270918,0.11764706
 421,-71.057511,42.270805,0.11764706
 421,-71.057588,42.2707,0.11764706
 421,-71.057758,42.270634,0.11764706
 421,-71.058062,42.270386,0.11764706
 421,-71.058175,42.270294,0.11764706
 421,-71.058191,42.270167,0.11764706
 421,-71.058299,42.270111,0.11764706
 421,-71.058376,42.27002,0.11764706
 421,-71.058561,42.269904,0.11764706
 421,-71.058685,42.269731,0.11764706
 421,-71.058825,42.269458,0.11764706
 421,-71.058917,42.269402,0.11764706
 421,-71.05901,42.269392,0.11764706
 421,-71.059241,42.269459,0.11764706
 421,-71.059917,42.269826,0.11764706
 421,-71.060425,42.26992,0.11764706
 421,-71.060517,42.269909,0.11764706
 421,-71.060533,42.269828,0.11764706
 421,-71.060441,42.269735,0.11764706
 421,-71.060318,42.26962,0.11764706
 421,-71.059735,42.269198,0.11764706
 421,-71.059735,42.269153,0.11764706
 421,-71.059766,42.26913,0.11764706
 421,-71.059858,42.269129,0.11764706
 421,-71.060043,42.269152,0.11764706
 421,-71.060213,42.269064,0.11764706
 421,-71.06049,42.269041,0.11764706
 421,-71.060722,42.268847,0.11764706
 421,-71.061076,42.268814,0.11764706
 421,-71.061214,42.268879,0.11764706
 421,-71.061322,42.268882,0.11764706
 421,-71.061523,42.268802,0.11764706
 421,-71.061646,42.2687,0.11764706
 421,-71.061662,42.268583,0.11764706
 421,-71.061647,42.268552,0.11764706
 421,-71.061324,42.26831,0.11764706
 421,-71.061325,42.268206,0.11764706
 421,-71.061402,42.268128,0.11764706
 421,-71.061679,42.268069,0.11764706
 421,-71.061864,42.267967,0.11764706
 421,-71.062097,42.267787,0.11764706
 421,-71.062297,42.267684,0.11764706
 421,-71.062358,42.267683,0.11764706
 421,-71.062497,42.267766,0.11764706
 421,-71.062789,42.267856,0.11764706
 421,-71.062989,42.267983,0.11764706
 421,-71.062988,42.268073,0.11764706
 421,-71.062849,42.268269,0.11764706
 421,-71.062849,42.268372,0.11764706
 421,-71.062972,42.268487,0.11764706
 421,-71.062956,42.2686,0.11764706
 421,-71.063017,42.268644,0.11764706
 421,-71.063171,42.268682,0.11764706
 421,-71.063355,42.26885,0.11764706
 421,-71.063617,42.268854,0.11764706
 421,-71.064279,42.26891,0.11764706
 421,-71.064387,42.268957,0.11764706
 421,-71.064602,42.269106,0.11764706
 421,-71.064648,42.269151,0.11764706
 421,-71.064648,42.269245,0.11764706
 421,-71.064477,42.269415,0.11764706
